Nº,Nom,Grau,Metres,Paret,Zona,Data,Enllaç,Ubicació
259,Sueño de Verano,6a,350,Anayet,Anayet,2024-02,,"42.7817, -0.4545"
260,Climbing Girls,V+,250,Paret de la Cascada,Panticosa,2024-03,,"42.7799, -0.2323"
261,Viaje por el Muro,V+,250,Paret de la Cascada,Panticosa,2024-04,,"42.7799, -0.2323"
262,Valle de Canfranc,6a,450,El Tobazo,Canfranc,2024-05,,"42.7738, -0.5269"
263,Roca por un Tubo,6a,300,Paret de la Tuberia,Panticosa,2024-06,,"42.7680, -0.2242"
264,Malalts de Roca,V+,120,Coll Roig,Collroig,2024-07,,"42.261, 2.083"
265,Apatxe Rebel,6a+/Ae,175,Paret Bucòlica,Oliana,2024-08,,"42.1379, 1.3092"
266,Petit Gifré,V+,55,Serrat d'en Muntaner,Montserrat,2024-08,,"41.5825, 1.8166"
267,Alberto Gonzàlez,IV+,80,Serrat d'en Muntaner,Montserrat,2024-09,,"41.5825, 1.8166"
268,Makita Plateà,6a,80,Miranda del Príncep,Montserrat,2024-10,,"41.6048, 1.7928"
269,Esquivabolas,V,145,La Cajoleta,Montserrat,2024-11,,"41.5822, 1.8089"
270,Mickey Mouse,6a+,170,Magdalena Inferior,Montserrat,2024-12,,"41.5891, 1.8278"
271,Badalona,6a,170,Paret del Devessó,Malanyeu,2025-01,,"42.186, 1.933"
272,Somni de Primavera,6a,110,Collbató,Montserrat,2025-02,,"41.5759, 1.8237"
273,Aresta de la Sardana,V+,80,Les Arenes,Sant Llorenç del Munt,2025-02,,"41.6476, 2.0628"
274,Amistades pelirrojas,6a,100,Roc d'en Solà,Perles,2025-03,,"42.1797, 1.3859"
275,GEM,6a+,150,Roca Gris,Montserrat,2025-04,,"41.5964, 1.8336"
276,Pell Roja,6a,60,Estalvis del Porró,Montserrat,2025-05,,"41.5886, 1.8212"
277,Tsering,6a/A0,125,Agulla Ratpenat,Montserrat,2025-06,,"41.6001, 1.8239"
278,Normal,IV+,30,Cavall Bernat,La Mola,2025-07,,"41.6007, 1.8227"
279,Tasmània,6a,125,Paret del Pont,Montserrat,2025-08,,"41.5906, 1.8162"
280,Alimera,IV+,105,La Codolosa,Montserrat,2025-08,,"41.597, 1.831"
281,Pluja d'idees,6a+,90,La Cajoleta,Montserrat,2025-11,,"41.5822, 1.8089"
