Nº,Nom,Grau,Metres,Paret,Zona,Data,Enllaç,Ubicació
132,Aresta Brucs,IV+,60,La Bitlla,Montserrat,2015-06,http://elprincepdelesmaduixes.blogspot.com.es/2015/06/arestats.html,"41.6084, 1.7852"
133,Cerdà Pokorski,6a/Ae,150,La Prenyada,Montserrat,2015-06,http://elprincepdelesmaduixes.blogspot.com.es/2015/06/hola-lola-pio-pio.html,"41.592, 1.831"
134,Ignasi Jorba,V+,130,Magdalena Superior,Montserrat,2015-06,http://elprincepdelesmaduixes.blogspot.com.es/2015/06/no-es-veu-la-bandera.html,"41.5885, 1.8275"
135,Rataplan,V+,130,Magdalena Inferior,Montserrat,2015-06,http://elprincepdelesmaduixes.blogspot.com.es/2015/06/no-es-veu-la-bandera.html,"41.5891, 1.8278"
136,Espolón Picapiedra,V,400,Pic de La Renclusa,Benasc,2015-08,http://elprincepdelesmaduixes.blogspot.com.es/2015/08/pre-vacances.html,"42.6635, 0.6539"
137,Nyam Nyam,V,400,Torre de Marfil,Cerler,2015-08,http://elprincepdelesmaduixes.blogspot.com.es/2015/08/pre-vacances.html,"42.5747, 0.5609"
138,Via del Nano,V,110,Panticosa,Balneari de Panticosa,2015-12,http://elprincepdelesmaduixes.blogspot.com.es/2015/12/que-estava-de-parranda.html,"42.75, -0.28"
139,Espolón de Rebellón,V,110,Panticosa,Balneari de Panticosa,2015-12,http://elprincepdelesmaduixes.blogspot.com.es/2015/12/que-estava-de-parranda.html,"42.75, -0.28"
140,Escalada Pirenaica,V,110,Agulla del Portalet,Agulla del Portalet,2015-12,http://elprincepdelesmaduixes.blogspot.com.es/2015/12/que-estava-de-parranda.html,"42.8051, -0.4088"
141,Travessa Integral,IV+,250,Agulles de Travessani,Agulles de Travessani,2015-12,http://elprincepdelesmaduixes.blogspot.com.es/2015/12/records-destiu.html,"42.6111, 0.8902"
142,Redrum,6a/Ae,260,Cap del Ras,Àger,2016-01,http://elprincepdelesmaduixes.blogspot.com.es/2016/01/els-finillos.html,"42.0411, 0.7593"
143,Maduritas Calientes,6a,165,Portella Blanca,Rubies,2016-02,http://elprincepdelesmaduixes.blogspot.com.es/2016/02/seduint-voltors.html,"42.0264, 0.9123"
144,La Dama de los Vientos,6b+/Ae,80,Pala del Coll,Montroig,2016-02,http://elprincepdelesmaduixes.blogspot.com.es/2016/02/la-setmana-de-la-fissura.html,"41.972, 0.900"
145,NEM,6b+/Ae,80,Pala del Coll,Montroig,2016-02,http://elprincepdelesmaduixes.blogspot.com.es/2016/02/la-setmana-de-la-fissura.html,"41.972, 0.900"
146,SAME,V,200,Penya-segat de la Falconera,Garraf,2016-03,http://elprincepdelesmaduixes.blogspot.com.es/2016/03/el-vaixell-de-paper.html,"41.2499, 1.8935"
147,Funció Clorofíl·lica,V,130,La Pastereta,Montserrat,2016-04,http://elprincepdelesmaduixes.blogspot.com.es/2016/04/sense-voler.html,"41.5832, 1.8090"
